Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118)
5.711481888789337e-14,0.9041474096831561,1.8382128813187758e-14,2.4861808097749949e-22,2.4861794547897346e-22,1.7921224061087006e-35,6.3493711434881162e-29,0.0,0.0,4.635118523709858e-15,1.8197969657922096e-25,154.0,0.0,0.99999995755460036,1.0,18.999999999998874,4.0556035503382063e-09,1.5402859834657518e-08,1.1092409450704756e-08,1.1092698646053259e-08,3.3140433866810967e-10,6.9516250802937593e-13,2.4618440955007853e-15,4.2652256301701969e-13,4.6929951141315527e-10
6.613480269890019e-14,0.9041474096831543,2.1285164349608184e-14,3.3334590966099424e-22,3.3334572770821511e-22,2.7868314368775755e-35,9.8576531060133714e-29,0.0,0.0,5.3794339544210503e-15,2.443943164897463e-25,154.0,0.0,0.999999950854083,1.0,18.99999999999849,4.6960936384273309e-09,1.7691966091954856e-08,1.2844075526644581e-08,1.2844461080740351e-08,4.4195954638523055e-10,9.3201392876560628e-13,2.8513099193329311e-15,5.7027312171547818e-13,6.2585601676803081e-10
7.515478650990701e-14,0.9041474096831521,2.4188199143762407e-14,4.3047528192140844e-22,4.3047504251235399e-22,4.0962827102220767e-35,1.4466141098965725e-28,0.0,0.0,6.1271056961550922e-15,3.1611778106786939e-25,154.0,0.0,0.99999994415428584,1.0,18.999999999998057,5.3365837122510938e-09,1.9943709999005484e-08,1.4595706932693372e-08,1.4596203143470165e-08,5.6768052074617987e-10,1.2035084088848674e-12,3.2407712134986397e-15,7.343721661506265e-13,8.0388866511411013e-10
8.417477032091384e-14,0.9041474096831495,2.7091233195651297e-14,5.4000619458787782e-22,5.400058852199852e-22,5.7645424424721972e-35,2.0324889690190264e-28,0.0,0.0,6.8781337661148787e-15,3.9719445275972383e-25,154.0,0.0,0.99999993745519755,1.0,18.999999999997566,5.9770737718099559e-09,2.2158701370421815e-08,1.6347303675175251e-08,1.6347925006887871e-08,7.0831973152068411e-10,1.5096396267484956e-12,3.6302280163447698e-15,9.1864705361744948e-13,1.003046930563708e-09
9.319475413192066e-14,0.9041474096831467,2.999426650527568e-14,6.6193864448957934e-22,6.6193825115974567e-22,7.8359505673481031e-35,2.7583953423687444e-28,0.0,0.0,7.6325181815001602e-15,4.8766871109090234e-25,154.0,0.0,0.99999993075680649,1.0,18.999999999997023,6.6175638171043671e-09,2.4337540088861593e-08,1.8098865760413153e-08,1.8099626842176709e-08,8.636336799643998e-10,1.8504012618682244e-12,4.0196803659565583e-15,1.1229266033018059e-12,1.2229859961891426e-09
1.0221473794292748e-13,0.9041474096831437,3.2897299072636335e-14,7.9627262845567981e-22,7.9627213566026298e-22,1.0355121293312913e-34,3.6393386760827226e-28,0.0,0.0,8.390258959507538e-15,5.8758495268429902e-25,154.0,0.0,0.9999999240591011,1.0,18.999999999996419,7.2580538481347683e-09,2.6480816228058378e-08,1.985039319472882e-08,1.985130881906589e-08,1.03338284887952e-09,2.225786994910736e-12,4.4091283000692307e-15,1.3470410883788753e-12,1.4633666833038987e-09
1.2025470556494113e-13,0.9041474096831366,3.8703361980569519e-14,1.1021451858977148e-21,1.1021444416580529e-21,1.6916578648846389e-34,5.9263579774683795e-28,0.0,0.0,9.9158096721591665e-15,8.1592105765103916e-25,154.0,0.0,0.99999991066570326,1.0,18.999999999995055,8.5390338674052859e-09,3.0662993144349696e-08,2.3353344135874429e-08,2.3354613869379435e-08,1.4152482302888046e-09,3.0804054831994646e-12,5.1880110711567015e-15,1.8541031398852699e-12,2.0041237516228447e-09
1.3649067642475342e-13,0.9041474096831296,4.3928816059174729e-14,1.4198437022857344e-21,1.4198426636704014e-21,2.4806424880074549e-34,8.6654362417653788e-28,0.0,0.0,1.1300284246164742e-14,1.0541608719637433e-24,154.0,0.0,0.99999989861388028,1.0,18.999999999993641,9.6919158359701405e-09,3.4311053143167291e-08,2.6505881540146681e-08,2.6507522172350603e-08,1.8059717723871131e-09,3.9679131656370619e-12,5.8889908362066599e-15,2.3766210726142369e-12,2.557424804580544e-09
1.527266472845657e-13,0.9041474096831211,4.9154267732856387e-14,1.7777231397291887e-21,1.7777217331700315e-21,3.485339925022434e-34,1.2140198649115903e-27,0.0,0.0,1.2695633702363048e-14,1.3236839499660101e-24,154.0,0.0,0.99999988656411065,1.0,18.99999999999206,1.084479775832618e-08,3.785263636997321e-08,2.9658306773692065e-08,2.966036870863457e-08,2.2399153406851816e-09,4.9675046998106587e-12,6.5899568674804446e-15,2.9608297036595826e-12,3.1719294553375182e-09
1.68962618144378e-13,0.9041474096831122,5.4379717001617939e-14,2.1757834797357007e-21,2.1757816229134427e-21,4.7327607838351599e-34,1.6438156750185708e-27,0.0,0.0,1.4101858140930638e-14,1.6247498310416799e-24,154.0,0.0,0.99999987451633443,1.0,18.999999999990301,1.1997679634475731e-08,4.1290850563700381e-08,3.2810619873335904e-08,3.2813154417171132e-08,2.7158174709313623e-09,6.0791432730571835e-12,7.290909373759454e-15,3.6057901057768244e-12,3.8458513528848279e-09
