Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153)
2.3378145618981633e-11,0.8409530006580183,3.9643396122376332e-16,3.4583059062069292e-22,3.4580349722778087e-22,7.2173637082289047e-34,2.709339292163673e-26,0.0,0.0,3.4940456326263644e-14,6.6231565982415508e-23,154.0,0.0,0.99999979288990604,1.0,18.999999998205286,4.1573587595590313e-08,2.2183137254076575e-10,7.9437085167743906e-08,8.1231672889987957e-08,2.8512394260257958e-09,1.7946146750852334e-09,6.2289731946262773e-14
2.4742040237991367e-11,0.840953000656998,4.1955382268824789e-16,3.873544614263457e-22,3.873223445032842e-22,9.0160035990423205e-34,3.2116925298792492e-26,0.0,0.0,3.8998506420273708e-14,7.8278315515308014e-23,154.0,0.0,0.99999978080756802,1.0,18.999999997992941,4.399900584118355e-08,2.2183146646389737e-10,8.3963853048855119e-08,8.597077491576939e-08,3.0299518423934593e-09,2.0069483726652317e-09,6.5923811729352912e-14
2.61059348570011e-11,0.8409530006559223,4.4267276510871898e-16,4.3123132549698693e-22,4.3119359961989106e-22,1.1130790228380539e-33,3.7725882072446112e-26,0.0,0.0,4.3276175997431993e-14,9.1712925324828074e-23,154.0,0.0,0.99999976872523144,1.0,18.999999997769091,4.6424423089449398e-08,2.2183150091710371e-10,8.8479114557501149e-08,9.0709876827026542e-08,3.2086643134247241e-09,2.2307881085674729e-09,6.9557891424570143e-14
2.7469829476010833e-11,0.8409530006547916,4.6579078832515282e-16,4.7746108928814839e-22,4.7741713677836413e-22,1.3596574685893223e-33,4.3952518067460128e-26,0.0,0.0,4.7773000025281885e-14,1.0661303860092568e-22,154.0,0.0,0.99999975664289631,1.0,18.999999997533791,4.8849839340388239e-08,2.2183149194615991e-10,9.2982924855214354e-08,9.5448978623759175e-08,3.3873768237832688e-09,2.4660787217243733e-09,7.3191971031810425e-14
2.8833724095020567e-11,0.8409530006536065,4.8890789217848956e-16,5.2604365923911993e-22,5.2599283016494906e-22,1.6449994023915478e-33,5.0829086387459386e-26,0.0,0.0,5.2488515700743534e-14,1.2305658715844412e-22,154.0,0.0,0.99999974456056262,1.0,18.999999997287098,5.1275254594000465e-08,2.218314745883171e-10,9.747533883907678e-08,1.0018808030596694e-07,3.5660893399809922e-09,2.7127653155163702e-09,7.6826050551113088e-14
3.0197618714030297e-11,0.8409530006523663,5.1202407651062854e-16,5.7697894177305034e-22,5.7692055395147506e-22,1.9729466000723403e-33,5.8387838414602444e-26,0.0,0.0,5.7422262439153268e-14,1.4112178859619669e-22,154.0,0.0,0.99999973247823037,1.0,18.999999997029061,5.3700668850286499e-08,2.2183146709673037e-10,1.0195641114302049e-07,1.0492718187364963e-07,3.744801844571793e-09,2.9707932564717826e-09,8.046012998246758e-14
3.1561513333040027e-11,0.8409530006510717,5.3513934116442444e-16,6.302668432970449e-22,6.302001822954515e-22,2.3475184018584184e-33,6.666102380936163e-26,0.0,0.0,6.2573781863696832e-14,1.6088714357678861e-22,154.0,0.0,0.99999972039589957,1.0,18.999999996759737,5.6126082109246738e-08,2.2183146698473423e-10,1.0642619613908077e-07,1.0966628332680693e-07,3.9235143399323897e-09,3.2401081730133741e-09,8.4094209325868246e-14
3.4289302571059493e-11,0.8409530006483218,5.81367110813141e-16,7.4390012886420454e-22,7.4381464921497756e-22,3.2534969229676391e-33,8.5479684733420181e-26,0.0,0.0,7.3528316218031994e-14,2.0583371035757257e-22,154.0,0.0,0.99999969623124241,1.0,18.999999996187444,6.0976905635191414e-08,2.2183147961859539e-10,1.1533212039630897e-07,1.1914448588954439e-07,4.2809393118335434e-09,3.812382745918729e-09,9.1362367748784876e-14
3.701709180907896e-11,0.840953000645358,6.2759119988639633e-16,8.6694276688022743e-22,8.6683522390089126e-22,4.3986218029713519e-33,1.0754303200138054e-25,0.0,0.0,8.534849550536339e-14,2.5852985196035397e-22,154.0,0.0,0.99999967206659102,1.0,18.999999995570647,6.58277251718377e-08,2.218314742058879e-10,1.2419354139666117e-07,1.286226879941771e-07,4.6383642922757629e-09,4.429159251953716e-09,9.8630525819817327e-14
3.9744881047098426e-11,0.8409530006421823,6.7381160716094098e-16,9.9939400803402206e-22,9.9926089910744395e-22,5.8213897034284753e-33,1.3310900089448659e-25,0.0,0.0,9.8030731139414265e-14,3.196134963992767e-22,154.0,0.0,0.9999996479019454,1.0,18.999999994909775,7.0678540719188854e-08,2.2183145687251669e-10,1.3301088481320711e-07,1.3810088964070294e-07,4.9957892754039966e-09,5.0900120216350075e-09,1.0589868353892068e-13
