Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125)
1.5426552559539654e-13,0.8693272349592399,8.9010269198394289e-15,2.4190206318224219e-22,2.419020479013864e-22,1.9007550607015156e-35,2.3570708835521904e-35,0.0,0.0,3.9112671150122738e-15,3.0385841679265406e-25,154.0,0.0,0.99999995218623283,1.0,19.0,5.7559487359801156e-09,1.0948402275916869e-08,1.5248343206410109e-08,1.5248356018704386e-08,6.127167384930046e-10
1.7114877851319803e-13,0.8693272349592399,9.8751779251792695e-15,2.9774831650880047e-22,2.9774829955562261e-22,2.6054968678118558e-35,3.2315413505887935e-35,0.0,0.0,4.3621073613209159e-15,3.7538390483839124e-25,154.0,0.0,0.999999946956731,1.0,19.0,6.3858958667936458e-09,1.2071953255040314e-08,1.6917164654174806e-08,1.691717889146039e-08,7.5107617128338236e-10
1.8803203143099952e-13,0.8693272349592398,1.0849328454933082e-14,3.5938942227157528e-22,3.5938940364609383e-22,3.468244655504543e-35,4.302303041786934e-35,0.0,0.0,4.817441984290736e-15,4.5475855277536465e-25,154.0,0.0,0.99999994172786377,1.0,19.0,7.0158429809070437e-09,1.3181450043849165e-08,1.8585986079992432e-08,1.8586001746763234e-08,9.028553454202589e-10
2.04915284348801e-13,0.8693272349592399,1.1823478509101729e-14,4.2682537772536982e-22,4.2682535742760509e-22,4.5058538674698758e-35,5.5903619605692057e-35,0.0,0.0,5.2772709839228204e-15,5.4206293389364831e-25,154.0,0.0,0.99999993649962293,1.0,19.0,7.6457900783207033e-09,1.4277068430479943e-08,2.0254807483865093e-08,2.0254824584615012e-08,1.067886408299514e-09
2.38681790184404e-13,0.8693272349592398,1.3771777190686967e-14,5.7908182615571143e-22,5.7908180251344945e-22,7.1742219389149714e-35,8.903875837553548e-35,0.0,0.0,6.2104121127369934e-15,7.4078341957499072e-25,154.0,0.0,0.99999992604498977,1.0,19.0,8.9056842230503844e-09,1.642736230560036e-08,2.3592450225783794e-08,2.3592470207973678e-08,1.4370431444884894e-09
2.6799847985086393e-13,0.8693272349592401,1.5463323719320837e-14,7.3007232656573075e-22,7.3007230001980081e-22,1.0221814630394947e-34,1.2689758692438093e-34,0.0,0.0,7.0351620213584975e-15,9.3980253022132879e-25,154.0,0.0,0.99999991697004809,1.0,19.0,9.9995469995038717e-09,1.825088322639243e-08,2.6490251809268216e-08,2.6490274307754693e-08,1.7989953610200459e-09
2.9731516951732384e-13,0.8693272349592399,1.7154868813977459e-14,8.9853547700977701e-22,8.9853544756027014e-22,1.4046837571804706e-34,1.7443089581398665e-34,0.0,0.0,7.873463419841772e-15,1.1638839271326079e-24,154.0,0.0,0.99999990789688653,1.0,19.0,1.109340972560962e-08,2.0034978708848479e-08,2.9388053326612912e-08,2.9388078354946046e-08,2.1985932301513253e-09
3.2663185918378376e-13,0.8693272349592401,1.8846412474661137e-14,1.0844712626261152e-21,1.0844712302731335e-21,1.8744838641789403e-34,2.3283297527482633e-34,0.0,0.0,8.7253163078140241e-15,1.4134508353608175e-24,154.0,0.0,0.99999989882546614,1.0,19.0,1.2187272401369556e-08,2.1780501148813254e-08,3.2285854777828081e-08,3.2285882349557948e-08,2.6350228353967466e-09
3.5594854885024367e-13,0.8693272349592399,2.0537954701376098e-14,1.2878796685091157e-21,1.2878796332527723e-21,2.4413441079377317e-34,3.0332498387243917e-34,0.0,0.0,9.5907206848684705e-15,1.6889268653399367e-24,154.0,0.0,0.99999988975574994,1.0,19.0,1.3281135026785561e-08,2.3488284565786096e-08,3.5183656162923693e-08,3.5183686291600368e-08,3.1074878070602476e-09
3.852652385167036e-13,0.8693272349592399,2.2229495494126514e-14,1.5087606798295444e-21,1.5087606416699645e-21,3.1152342338766069e-34,3.8715493450030493e-34,0.0,0.0,1.0469676550657407e-14,1.9907360050618521e-24,154.0,0.0,0.99999988068770063,1.0,19.0,1.4374997601859486e-08,2.5159144926030979e-08,3.8081457481909527e-08,3.8081490181083084e-08,3.6152090137112624e-09
4.145819281831635e-13,0.8693272349592399,2.3921034852916487e-14,1.7471142818145745e-21,1.7471142407518947e-21,3.9063314365354606e-34,4.8559769776879075e-34,0.0,0.0,1.1362183904876784e-14,2.3193026218750089e-24,154.0,0.0,0.99999987162128223,1.0,19.0,1.546886012659314e-08,2.6793880514166704e-08,4.0979258734795141e-08,4.097929401801565e-08,4.1574242073690832e-09
4.438986178496234e-13,0.8693272349592399,2.5612572777750057e-14,2.00294045967829e-21,2.0029404157126602e-21,4.8250204280798988e-34,5.9995501038740661e-34,0.0,0.0,1.2268242747212391e-14,2.6750514671654348e-24,154.0,0.0,0.99999986255645945,1.0,19.0,1.6562722600988277e-08,2.8393272344502212e-08,4.3877059921589845e-08,4.3877097802407378e-08,4.7333876307362759e-09
4.732153075160833e-13,0.8693272349592401,2.7304109268631208e-14,2.2762391985988824e-21,2.2762391517304635e-21,5.8818934566929367e-34,7.3155547740909324e-34,0.0,0.0,1.3187853077322256e-14,3.0584076776794396e-24,154.0,0.0,0.99999985349319809,1.0,19.0,1.7656585025046639e-08,2.9958084562917513e-08,4.6774861042302829e-08,4.6774901534267453e-08,5.3423696334597076e-09
5.318486868490032e-13,0.8693272349592401,3.0687177948551902e-14,2.8752543003939808e-21,2.8752542477205205e-21,8.4535980469452185e-34,1.0519346058703252e-33,0.0,0.0,1.5067728199551297e-14,3.9096446512628269e-24,154.0,0.0,0.99999983537122439,1.0,18.999999999999996,1.9844309722159745e-08,3.2986944456594968e-08,5.2570463085519125e-08,5.2570508840428158e-08,6.656549351650121e-09
5.84618728248631e-13,0.8693272349592401,3.3731934856402082e-14,3.4741239021845286e-21,3.4741238442872143e-21,1.1351231388160605e-33,1.4131259899738737e-33,0.0,0.0,1.6805961894355159e-14,4.7744479246422037e-24,154.0,0.0,0.99999981906645641,1.0,18.999999999999996,2.1813261777426333e-08,3.5601989060031485e-08,5.7786504698501988e-08,5.7786555236402231e-08,7.9452326968957143e-09
6.373887696482589e-13,0.8693272349592399,3.6776687118305848e-14,4.1296043713961396e-21,4.1296043082756988e-21,1.4870795426870915e-33,1.8520754754126788e-33,0.0,0.0,1.8588102404310046e-14,5.7353282826158977e-24,154.0,0.0,0.99999980276624334,1.0,18.999999999999996,2.3782213669626975e-08,3.8116145785702275e-08,6.300254609751343e-08,6.3002601462307096e-08,9.3302495172456718e-09
6.901588110478868e-13,0.8693272349592399,3.9821434734284442e-14,4.8416956216388267e-21,4.8416955532960712e-21,1.9081566947427934e-33,2.3775028345317511e-33,0.0,0.0,2.0414149727460307e-14,6.7947789661944448e-24,154.0,0.0,0.99999978647040955,1.0,18.999999999999989,2.5751165398770472e-08,4.0533306886792285e-08,6.8218587282600004e-08,6.8218647518189307e-08,1.0807883265918641e-08
7.429288524475147e-13,0.8693272349592401,4.2866177704358628e-14,5.6103975665609585e-21,5.6103974929967812e-21,2.4055000934485604e-33,2.9984098401631567e-33,0.0,0.0,2.2284103861879837e-14,7.9552972343478116e-24,154.0,0.0,0.99999977017878605,1.0,18.999999999999986,2.7720116964865295e-08,4.2857214406006225e-08,7.3434628253806497e-08,7.3434693404093697e-08,1.2374560825722795e-08
7.956988938471426e-13,0.8693272349592401,4.5910916028548632e-14,6.4357101197931014e-21,6.4357100410084871e-21,2.9864730615236268e-33,3.724080270771694e-33,0.0,0.0,2.4197964805628586e-14,9.2193843674167142e-24,154.0,0.0,0.99999975389121043,1.0,18.999999999999982,2.9689068367919577e-08,4.5091466030564145e-08,7.8650669011175949e-08,7.8650739120063254e-08,1.4026846918369989e-08
8.484689352467705e-13,0.8693272349592402,4.8955649706874227e-14,7.3176331949554851e-21,7.3176331109515051e-21,3.6586567444273761e-33,4.5640799085878223e-33,0.0,0.0,2.6155732556758385e-14,1.0589545666556903e-23,154.0,0.0,0.99999973760752658,1.0,18.999999999999979,3.1658019607941157e-08,4.723952066510378e-08,8.3866709554749772e-08,8.3866784666139377e-08,1.5761438783148692e-08
9.012389766463984e-13,0.8693272349592401,5.2000378739354678e-14,8.2561667056606867e-21,8.2561666164385033e-21,4.429850109557318e-33,5.5282565386150914e-33,0.0,0.0,2.815740711331501e-14,1.2068290453633744e-23,154.0,0.0,0.99999972132758441,1.0,18.999999999999975,3.362697068493754e-08,4.9304703781378787e-08,8.9082749884567711e-08,8.9082830042361861e-08,1.7575161068725026e-08
9.540090180460262e-13,0.8693272349592401,5.504510312600883e-14,9.251310565526715e-21,9.2513104710875891e-21,5.3080699444836887e-33,6.6267399464595238e-33,0.0,0.0,3.0202988473348292e-14,1.3658132070456727e-23,154.0,0.0,0.99999970505123958,1.0,18.999999999999972,3.5595921598915975e-08,5.129021254994162e-08,9.4298790000668066e-08,9.4298875248768944e-08,1.9464960933117329e-08
1e-12,0.8693272349592401,5.7698685739671288e-14,1.0164782898884445e-20,1.0164782799899667e-20,6.1671787381684955e-33,7.7017629016137395e-33,0.0,0.0,3.2021594350020729e-14,1.5136306644756047e-23,154.0,0.0,0.99999969086864726,1.0,18.999999999999968,3.7311932739627021e-08,5.2958078269910293e-08,9.8844755690515758e-08,9.8844845410806072e-08,2.1171740640170818e-08
