Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75)
1.4105196404634105e-10,0.439118912838037,154.0,0.0,0.0,0.0,0.99994153334171842,1.0,18.999995999515583,4.5040668833150074e-06,2.3127184921714667e-05,1.9303641411422461e-05,3.9120139038061722e-06,1.3533218476021789e-11,3.3589565677460083e-08,3.3263800530460866e-06,3.3341651869725395e-11,4.1647491727560432e-06,8.8456926845687772e-08,6.6550197505013265e-14,6.5285014833565123e-09
1.4494481081393232e-10,0.4391189124227634,154.0,0.0,0.0,0.0,0.99993991967207096,1.0,18.999995834018556,4.6283588826949475e-06,2.3765402456668364e-05,1.9781292305035925e-05,4.0750457362033326e-06,1.3906681270587172e-11,3.35895161913087e-08,3.4185838478250534e-06,3.3341598065051128e-11,4.2801923766062422e-06,9.0921747213278483e-08,6.9323655627691151e-14,6.893742881422159e-09
1.488376575815236e-10,0.439118912004426,154.0,0.0,0.0,0.0,0.99993830599772338,1.0,18.999995667300468,4.7526501160694983e-06,2.4403617930620972e-05,2.025772006283828e-05,4.2392986353853445e-06,1.4280142852507247e-11,3.3589466706168298e-08,3.5107874770273593e-06,3.3341544260395789e-11,4.3956354103263705e-06,9.338655957769209e-08,7.2117886266215503e-14,7.268924096067778e-09
1.5273050434911487e-10,0.4391189115831989,154.0,0.0,0.0,0.0,0.99993669231867599,1.0,18.999995499430799,4.8769405834415627e-06,2.5041831343531223e-05,2.0732994160165555e-05,4.4047031259757427e-06,1.4653603221742903e-11,3.3589417219759417e-08,3.6029909406535903e-06,3.334149045367602e-11,4.5110782739170997e-06,9.5851363938566235e-08,7.4931707520975913e-14,7.6540450632756803e-09
1.5662335111670614e-10,0.43911891115924645,154.0,0.0,0.0,0.0,0.9999350786349287,1.0,18.999995330475066,5.00123028481404e-06,2.5680042695357569e-05,2.1207180121331477e-05,4.5711936836201023e-06,1.5027062378255256e-11,3.3589367732736279e-08,3.6951942387030609e-06,3.3341436647253009e-11,4.6265209673774997e-06,9.8316160295637226e-08,7.7764004706266487e-14,8.0491057190274541e-09
1.605161978842974e-10,0.43911891073272397,154.0,0.0,0.0,0.0,0.99993346494648172,1.0,18.999995160495075,5.1255192201898304e-06,2.6318251986058194e-05,2.1680339744318825e-05,4.7387085102946724e-06,1.5400520322005944e-11,3.3589318246714677e-08,3.7873973711746623e-06,3.3341382841936172e-11,4.7419634907061205e-06,1.0078094864871707e-07,8.0613726527888863e-14,8.4541059993039522e-09
1.6440904465188868e-10,0.43911891030377764,154.0,0.0,0.0,0.0,0.99993185125333517,1.0,18.999994989549105,5.2498073895718342e-06,2.6956459215591115e-05,2.2152531312692777e-05,4.9071893223930718e-06,1.5773977052961498e-11,3.3589268760318442e-08,3.8796003380685921e-06,3.3341329035743931e-11,4.8574058439031374e-06,1.0324572899756532e-07,8.3479881478129785e-14,8.8690458400853524e-09
1.6830189141947995e-10,0.4391189098725453,154.0,0.0,0.0,0.0,0.99993023755548949,1.0,18.99999481769213,5.3740947929629499e-06,2.7594664383914228e-05,2.2623809795463636e-05,5.0765811508635402e-06,1.6147432571088255e-11,3.3589219272863793e-08,3.971803139384743e-06,3.3341275228686776e-11,4.9728480269683547e-06,1.0571050134191742e-07,8.6361534435738023e-14,9.293925177351103e-09
1.7219473818707122e-10,0.4391189094391572,154.0,0.0,0.0,0.0,0.99992862385294445,1.0,18.999994644975981,5.4983814303660804e-06,2.8232867490985177e-05,2.3094227035584088e-05,5.2468321527117195e-06,1.6520886876351507e-11,3.3589169785872068e-08,4.0640057751220531e-06,3.334122142221712e-11,5.0882900399003689e-06,1.081752656815635e-07,8.9257803459255294e-14,9.7287439470799657e-09
1.760875849546625e-10,0.4391189090037359,154.0,0.0,0.0,0.0,0.99992701014570029,1.0,18.999994471449572,5.6226673017841232e-06,2.8871068536761439e-05,2.3563831927726569e-05,5.4178934332232953e-06,1.6894339968722108e-11,3.3589120299157574e-08,4.1562082452801954e-06,3.3341167615883768e-11,5.2037318826987116e-06,1.1064002201631893e-07,9.216785676270664e-14,1.0173502085250024e-08
1.7998043172225376e-10,0.4391189085663972,154.0,0.0,0.0,0.0,0.99992539643375744,1.0,18.999994297159002,5.7469524072199813e-06,2.9509267521200337e-05,2.4032670585950172e-05,5.5897188782970749e-06,1.7267791848170563e-11,3.3589070811514923e-08,4.2484105498592945e-06,3.3341113808757627e-11,5.3191735553634692e-06,1.1310477034597438e-07,9.5090909863284891e-14,1.0628199527838659e-08
1.877661252574363e-10,0.4391189076863974,154.0,0.0,0.0,0.0,0.99992216899577513,1.0,18.999993946456865,5.995520320156738e-06,3.0785659305894585e-05,2.4968220671187265e-05,5.9354907914153938e-06,1.8014691968178341e-11,3.3588971836021537e-08,4.4328146622776262e-06,3.3341006193788646e-11,5.5500563902885299e-06,1.1803424298920861e-07,1.0097309843424526e-13,1.1567412070177839e-08
1.9477324943910058e-10,0.4391189068888714,154.0,0.0,0.0,0.0,0.99991926428552236,1.0,18.999993628622605,6.2192288221698388e-06,3.193440486191447e-05,2.5808006307864832e-05,6.2488878756317449e-06,1.8686897927703515e-11,3.3588882757993174e-08,4.5987777971684051e-06,3.3340909340810438e-11,5.7578503598568022e-06,1.2247074098871432e-07,1.0630453424631651e-13,1.244669513710593e-08
2.0178037362076485e-10,0.43911890608665405,154.0,0.0,0.0,0.0,0.99991635956004743,1.0,18.999993308918341,6.442934842445761e-06,3.3083143738530906e-05,2.664591521363705e-05,6.5641549853748242e-06,1.9359099956929625e-11,3.3588793678356144e-08,4.7647403955762039e-06,3.3340812486978269e-11,5.9656437781826037e-06,1.2690721304880134e-07,1.1166778251564899e-13,1.3358180554639679e-08
2.0878749780242913e-10,0.43911890528021286,154.0,0.0,0.0,0.0,0.99991345481935101,1.0,18.99999298753135,6.6666383810014188e-06,3.4231875935489904e-05,2.7482134653052752e-05,6.8811048558440789e-06,2.0031298055696892e-11,3.3588704599384418e-08,4.930702457497681e-06,3.3340715632364945e-11,6.1734366452613612e-06,1.3134365916853258e-07,1.1705965753522078e-13,1.4301867949374899e-08
2.157946219840934e-10,0.439118904469973,154.0,0.0,0.0,0.0,0.99991055006343432,1.0,18.999992664630138,6.8903394378537285e-06,3.5380601452536406e-05,2.8316833147672317e-05,7.1995689652259177e-06,2.0703492223869602e-11,3.3588615520575878e-08,5.0966639829307061e-06,3.3340618777869707e-11,6.3812289610900188e-06,1.3578007934689142e-07,1.2247729244951905e-13,1.5277756947900424e-08
2.2280174616575767e-10,0.4391189036563137,154.0,0.0,0.0,0.0,0.99990764529229781,1.0,18.999992340366379,7.1140380130196017e-06,3.6529320289414242e-05,2.915016235645902e-05,7.5193956543024882e-06,2.1375682461312379e-11,3.3588526439441313e-08,5.2626249718740104e-06,3.3340521922641302e-11,6.5890207256665985e-06,1.4021647358291858e-07,1.2791810726574739e-13,1.6285847176798138e-08
