Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79)
8.636452876554041e-13,0.8827513472337095,154.0,0.0,0.0,0.0,0.99999992520505454,1.0,18.999999999961162,1.1792594897550323e-08,2.7470017433370113e-08,2.7460082429596882e-08,2.4387372102411481e-11,1.0432833283211015e-14,4.6444418669204239e-09,1.6131953508521382e-09,1.8245726240112874e-12,1.773949249356421e-09,1.4441935495897094e-11
9.111359458531644e-13,0.8827513472336882,154.0,0.0,0.0,0.0,0.99999992109507974,1.0,18.999999999956913,1.2441053103608292e-08,2.8979849051518298e-08,2.8968662954868746e-08,2.7139655324817888e-11,1.101030481996202e-14,4.7690370023552468e-09,1.7628351031399931e-09,1.8894797154754535e-12,1.938500509458161e-09,1.5942548370450859e-11
9.586266040509248e-13,0.8827513472336657,154.0,0.0,0.0,0.0,0.99999991698528723,1.0,18.999999999952447,1.3089511283156012e-08,3.0489619596521502e-08,3.0477096736056173e-08,3.0038670208857155e-11,1.1573181473233621e-14,4.8854140541831641e-09,1.916303307243774e-09,1.9516679557537774e-12,2.1072617243548084e-09,1.7504236562046582e-11
1e-12,0.8827513472336421,154.0,0.0,0.0,0.0,0.99999991340501582,1.0,18.99999999994839,1.3654441671801063e-08,3.1804868338421436e-08,3.1791109897672655e-08,3.2683817294974129e-11,1.2090641103051486e-14,4.980525751669752e-09,2.0529264849659187e-09,2.0037186096013147e-12,2.2574993166247577e-09,1.8913285905082517e-11
1.0061172622486851e-12,0.8827513472336421,154.0,0.0,0.0,0.0,0.99999991287566536,1.0,18.999999999947779,1.3737969436193598e-08,3.199933062659296e-08,3.1985383830200528e-08,3.3084359713693765e-11,1.2176374993380021e-14,4.9941148122969358e-09,2.0733475664814018e-09,2.0112512197535846e-12,2.279955346201543e-09,1.9125386946260989e-11
1.0536079204464455e-12,0.8827513472336177,154.0,0.0,0.0,0.0,0.99999990876620271,1.0,18.999999999942904,1.4386427562721158e-08,3.3508983864591487e-08,3.3493524294320989e-08,3.6276666820654162e-11,1.2667585056121725e-14,5.0956455030646952e-09,2.2337320516921573e-09,2.0683386217064601e-12,2.4563220456174717e-09,2.0804428965097065e-11
1.1010985786442058e-12,0.8827513472335919,154.0,0.0,0.0,0.0,0.99999990465688882,1.0,18.999999999937835,1.5034885662738789e-08,3.5018580618713644e-08,3.5001518185414549e-08,3.961553453322206e-11,1.3267746824624371e-14,5.1904792763450848e-09,2.3972363426429543e-09,2.1230347202782249e-12,2.6361194376387974e-09,2.253983348729558e-11
1.1485892368419661e-12,0.8827513472335653,154.0,0.0,0.0,0.0,0.99999990054771437,1.0,18.999999999932559,1.5683343736246592e-08,3.6528122432735614e-08,3.6509365560455946e-08,4.3100905877045054e-11,1.3921811156933626e-14,5.2790580236680353e-09,2.5636545810158647e-09,2.1754396913008845e-12,2.8191211503021162e-09,2.4330111786219476e-11
1.1913308292199506e-12,0.8827513472335404,154.0,0.0,0.0,0.0,0.99999989684956836,1.0,18.999999999927638,1.6266955979737786e-08,3.7886664467150495e-08,3.7866302973840423e-08,4.6362953619761714e-11,1.4379665545428219e-14,5.3537723485397968e-09,2.7157633306337336e-09,2.2207246522191318e-12,2.9863874426744997e-09,2.5987080644152003e-11
1.234072421597935e-12,0.882751347233515,154.0,0.0,0.0,0.0,0.99999989315152171,1.0,18.999999999922554,1.6850568201756139e-08,3.9245164124904674e-08,3.9223121796857676e-08,4.9743581669414296e-11,1.496085865178722e-14,5.4240363138902347e-09,2.869945311143456e-09,2.2642987528671648e-12,3.1559335622576311e-09,2.768629276376658e-11
1.2768140139759194e-12,0.8827513472334885,154.0,0.0,0.0,0.0,0.99999988945356821,1.0,18.999999999917318,1.7434180402301726e-08,4.0603622625070666e-08,4.0579822070996263e-08,5.3242748537698455e-11,1.5451853987850883e-14,5.4901150220155238e-09,3.0260770227513668e-09,2.3062266302467546e-12,3.3276237025849407e-09,2.9426742609314444e-11
