Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83)
1.398319340097859e-10,0.5299519990446816,76.950000000000003,0.0,0.0,0.0,3.5182432537160822e-05,9.4999949472868828,0.00039155059072573716,0.0014987239561636795,0.0014942924140410876,4.7459247262124112e-06,5.8166733603191256e-11,3.9726800824162855e-05,0.18604396315066105,3.0638847134310233e-07,1.7477416170180048e-14,3.4174270962691453e-10,4.3043281681487368e-09,0.8104896808068599,1.8228253274202861e-06,9.1788222773316483e-16,2.280697450708993e-17,5.4055697882006481e-12,0.0
1.4040643518159776e-10,0.5299519990446729,76.950000000000003,0.0,0.0,0.0,3.4739555169109917e-05,9.4999949472854741,0.00039154259352128798,0.0014987239011259432,0.0014942923939301382,4.7459246623730778e-06,5.8166731467122874e-11,3.9702954098538219e-05,0.18595780558798713,3.0638846009186189e-07,1.7477415935084327e-14,3.4322716110540408e-10,4.3232209698567107e-09,0.8105763131406386,1.8228303382897722e-06,9.1788219402656481e-16,2.2904835945150088e-17,5.4343199535917977e-12,0.0
1.4098093635340962e-10,0.5299519990446645,76.950000000000003,0.0,0.0,0.0,3.4316749359420417e-05,9.4999949472840655,0.00039153458836892251,0.0014987238460839034,0.0014942923738148978,4.7459245985181244e-06,5.8166729330887461e-11,3.9679438466418403e-05,0.18587168465083406,3.0638844883972344e-07,1.7477415699931085e-14,3.4471161233612455e-10,4.342113767439137e-09,0.81066288845425782,1.8228352927251839e-06,9.1788216031727497e-16,2.3002707121482065e-17,5.4630727860563728e-12,0.0
1.4155543752522148e-10,0.5299519990446561,76.950000000000003,0.0,0.0,0.0,3.3913082790011384e-05,9.4999949472826568,0.00039152657563681768,0.001498723791037806,0.0014942923536956107,4.7459245346484546e-06,5.8166727194494566e-11,3.9656238912917107e-05,0.18578560051773324,3.0638843758673821e-07,1.7477415464723649e-14,3.4619606332769681e-10,4.3610065609647155e-09,0.81074940751614777,1.8228401932826646e-06,9.1788212660544776e-16,2.3100587583107474e-17,5.4918282206838013e-12,0.0
1.4212993869703334e-10,0.5299519990446473,76.950000000000003,0.0,0.0,0.0,3.3527666459723223e-05,9.4999949472812482,0.00039151855567604965,0.0014987237359878798,0.0014942923335725057,4.7459244707649197e-06,5.8166725057953089e-11,3.9633341120589795e-05,0.18569955335803004,3.063884263329544e-07,1.7477415229465148e-14,3.4768051408834088e-10,4.3798993505003917e-09,0.81083587105992738,1.8228450423996264e-06,9.1788209289122832e-16,2.3198476898101465e-17,5.5205861941421006e-12,0.0
1.427044398688452e-10,0.5299519990446389,76.950000000000003,0.0,0.0,0.0,3.3159652671741399e-05,9.4999949472798395,0.00039151052882138699,0.0014987236809343388,0.0014942923134457964,4.74592440686831e-06,5.8166722921271288e-11,3.9610731437029517e-05,0.18561354333231103,3.0638841507841688e-07,1.7477414994158498e-14,3.4916496462589511e-10,4.3987921361114085e-09,0.81092227978602205,1.8228498424002664e-06,9.1788205917475078e-16,2.3296374654614364e-17,5.5493466446395034e-12,0.0
1.4327894104065706e-10,0.5299519990446304,76.950000000000003,0.0,0.0,0.0,3.2808233114527859e-05,9.4999949472784309,0.00039150249539204906,0.0014987236258773855,0.0014942922933156833,4.7459243429593632e-06,5.8166720784457074e-11,3.9588396843968265e-05,0.18552757059281103,3.0638840382316733e-07,1.7477414758806416e-14,3.5064941494783412e-10,4.417684917861339e-09,0.81100863436320481,1.8228545955008267e-06,9.1788202545614035e-16,2.3394280459938784e-17,5.5781095118869821e-12,0.0
1.4385344221246892e-10,0.5299519990446218,76.950000000000003,0.0,0.0,0.0,3.2472637031915645e-05,9.4999949472770222,0.00039149445569242823,0.0014987235708172079,0.0014942922731823543,4.7459242790387766e-06,5.8166718647517736e-11,3.9566324927813863e-05,0.18544163528380178,3.063883925672456e-07,1.7477414523411473e-14,3.521338650612852e-10,4.4365776958121464e-09,0.81109493543006683,1.8228593038146098e-06,9.1788199173551615e-16,2.3492193939620074e-17,5.6068747370617096e-12,0.0
1.4442794338428078e-10,0.5299519990446133,76.950000000000003,0.0,0.0,0.0,3.2152129478224034e-05,9.4999949472756136,0.00039148641001277902,0.0014987235157539823,0.0014942922530459858,4.7459242151072005e-06,5.8166716510460079e-11,3.9544503851555794e-05,0.18535573754196241,3.0638838131068854e-07,1.7477414287976053e-14,3.5361831497304472e-10,4.455470470024209e-09,0.81118118359641911,1.8228639693567633e-06,9.1788195801298863e-16,2.3590114736608048e-17,5.6356422627713981e-12,0.0
1.4500244455609264e-10,0.5299519990446048,76.950000000000003,0.0,0.0,0.0,3.1846009654443924e-05,9.4999949472742049,0.00039147835862987429,0.0014987234606878756,0.0014942922329067429,4.7459241511652407e-06,5.8166714373290617e-11,3.9522922327976342e-05,0.18526987749673254,3.0638837005353068e-07,1.7477414052502401e-14,3.551027646895934e-10,4.4743632405563809e-09,0.81126737944462901,1.8228685940488371e-06,9.1788192428866113e-16,2.3688042510448248e-17,5.6644120330194995e-12,0.0
