Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52)
2.534845218395509e-14,0.20202356206022054,76.950000000000003,0.0,0.0,0.0,0.99999438953653397,9.4999999999266791,3.9877213414572294e-08,6.6077186810743555e-07,6.6074797157862349e-07,4.8610029165521953e-11,1.3600637246011923e-13,4.2011269609682373e-06,4.7866128608115096e-08,2.4577494054380238e-11,3.0932911818326952e-19,2.4689720980990631e-20,1.4259138100209434e-19
2.944126861589753e-14,0.20202356206016175,76.950000000000003,0.0,0.0,0.0,0.99999348409533928,9.4999999999012346,4.6315853613923695e-08,7.6745633888233757e-07,7.6742398279550774e-07,6.5562445191383434e-11,1.5799585846112442e-13,4.8701209098660782e-06,6.4488806978850174e-08,3.3048362550823805e-11,4.1722645245721966e-19,3.8727627219613014e-20,2.2343514673451982e-19
3.353408504783998e-14,0.20202356206009425,76.950000000000003,0.0,0.0,0.0,0.99999257877424264,9.4999999998720437,5.2754487770699513e-08,8.7413939768092746e-07,8.7409727354347993e-07,8.5042133444478259e-11,1.7998367162094959e-13,5.5365481693247838e-06,8.355846923443718e-08,4.2738012320536347e-11,5.4121184879404866e-19,5.7292803685628665e-20,3.3020560918522778e-19
3.762690147978242e-14,0.20202356206001823,76.950000000000003,0.0,0.0,0.0,0.99999167357278684,9.4999999998391207,5.9193115885671758e-08,9.8082105636528225e-07,9.8076784526088523e-07,1.0704768133384856e-10,2.0197317312168751e-13,6.2004185848429202e-06,1.050657268490866e-07,5.3634603673800002e-11,6.8127631505550248e-19,8.1026091251658014e-20,4.6651286311491804e-19
4.581253434366731e-14,0.20202356205984034,76.950000000000003,0.0,0.0,0.0,0.99998986352697872,9.4999999997621263,7.2070353993278869e-08,1.1941802202834767e-06,1.194100837352939e-06,1.5863070960631544e-10,2.4595168695739379e-13,7.5205280768969834e-06,1.5535565442768143e-07,7.9001826999814337e-11,1.0096065133300871e-18,1.4657443451327303e-19,8.4218534133467914e-19
5.39981672075522e-14,0.20202356205962838,76.950000000000003,0.0,0.0,0.0,0.99998805395429402,9.4999999996703544,8.4947567942862528e-08,1.4075339232723831e-06,1.4074229705607233e-06,2.2030024504345305e-10,2.8993305517258034e-13,8.8305273961415734e-06,2.1528420039291468e-07,1.0905759945243578e-10,1.4021452097123839e-18,2.4055553398358093e-19,1.3793621417200378e-18
6.218380007143709e-14,0.20202356205938246,76.950000000000003,0.0,0.0,0.0,0.99998624485113918,9.4999999995639097,9.7824757740493708e-08,1.6208822561988251e-06,1.620734256359169e-06,2.9204501526044041e-10,3.3389666960838872e-13,1.0130493955071407e-05,2.8477754530360173e-07,1.4371127731561921e-10,1.8588206459976695e-18,3.6819704957422165e-19,2.1069758377576576e-18
7.036943293532198e-14,0.2020235620591029,76.950000000000003,0.0,0.0,0.0,0.9999844362139485,9.4999999994428954,1.107019233921973e-07,1.8342253081128598e-06,1.8340347062091066e-06,3.7385376044561208e-10,3.7788655943965651e-13,1.1420504573394093e-05,3.6376243499184192e-07,1.8287396747364241e-10,2.3795611461416713e-18,5.3477137657196583e-19,3.0539820485498863e-18
7.855506579920687e-14,0.20202356205878988,76.950000000000003,0.0,0.0,0.0,0.99998262803918281,9.4999999993074038,1.2357906490395249e-07,2.0475631664683267e-06,2.0473243315572932e-06,4.657152333425812e-10,4.2182607450301014e-13,1.2700635482843678e-05,4.5216617597291268e-07,2.264584921905548e-10,2.9642951099878918e-18,7.4559556061872607e-19,4.2493594423388905e-18
8.674069866309176e-14,0.20202356205844368,76.950000000000003,0.0,0.0,0.0,0.99998082032333102,9.4999999991575379,1.3645618228169307e-07,2.2608959168113672e-06,2.2606031438364455e-06,5.6761819922974058e-10,4.6586064573884064e-13,1.3970962331676188e-05,5.4991663115837017e-07,2.7437935784311873e-10,3.6129510247399198e-18,1.0060312022952162e-18,5.7221097261686993e-18
9.492633152697664e-14,0.20202356205806443,76.950000000000003,0.0,0.0,0.0,0.99997901306290804,9.4999999989933865,1.4933327553130779e-07,2.4742236434545986e-06,2.4738711544652675e-06,6.7955143590563743e-10,5.0971363974652736e-13,1.5231560188866881e-05,6.5694221585361211e-07,3.2655272490073203e-10,4.3254574426749477e-18,1.3214843827143517e-18,7.5012576448119115e-18
1.0311196439086153e-13,0.20202356205765248,76.950000000000003,0.0,0.0,0.0,0.99997720625445619,9.4999999988150492,1.6221034465864072e-07,2.6875464284620065e-06,2.6871283748484715e-06,8.0150373367752459e-10,5.5373775826998529e-13,1.6482503549001621e-05,7.7317189309353898e-07,3.8289637164871184e-10,5.1017430178035862e-18,1.6974055977184028e-18,9.6158509965645437e-18
1.1047903396835793e-13,0.2020235620572538,76.950000000000003,0.0,0.0,0.0,0.9999755805104481,9.4999999986424868,1.7379968625348372e-07,2.8795327768663754e-06,2.8790506569480851e-06,9.198178441715888e-10,5.9334006822148583e-13,1.7600159087540841e-05,8.8558982868997609e-07,4.3710457219176425e-10,5.8548722951826659e-18,2.0919754513981107e-18,1.1829817447336182e-17
1.1784610354585433e-13,0.20202356205682892,76.950000000000003,0.0,0.0,0.0,0.99997395512727316,9.4999999984585717,1.8538900831817413e-07,3.0715152459962478e-06,3.0709642164696138e-06,1.0462301701606934e-09,6.3294923755431696e-13,1.8710107866252418e-05,1.0053549590529499e-06,4.9456767731579952e-10,6.6595530411793977e-18,2.5440111195480092e-18,1.4360250428512999e-17
1.2521317312335074e-13,0.20202356205637798,76.950000000000003,0.0,0.0,0.0,0.99997233010246556,9.4999999982633678,1.9697831085688084e-07,3.2634938927993006e-06,3.2628690616981174e-06,1.1807325657177391e-09,6.7244914392208208e-13,1.9812403014353253e-05,1.1324166209258243e-06,5.5522899456406219e-10,7.5157333960497052e-18,3.0575780368098362e-18,1.7228373699829252e-17
