Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146)
5.946918164983658e-13,0.4411234589461251,76.950000000000003,0.0,0.0,0.0,0.99999991059117577,9.4999999999624407,8.120185983887596e-09,3.7849170779245084e-08,3.7857953117394739e-08,1.440423560117843e-14,2.3169836714468735e-11,3.753365168725251e-09,8.521386032103323e-10,1.3996545370071974e-12,1.4373094329216248e-11,9.3705367464094935e-10
6.145562134634742e-13,0.44112345894611243,76.950000000000003,0.0,0.0,0.0,0.99999990760570989,9.4999999999599467,8.3914231987115584e-09,3.9112642095807056e-08,3.91220741226207e-08,1.4875638129633599e-14,2.4742224507571486e-11,3.8315901505611652e-09,9.0256672063141972e-10,1.4346799710422581e-12,1.5295322055812008e-11,9.9250692217831712e-10
6.344206104285825e-13,0.4411234589460995,76.950000000000003,0.0,0.0,0.0,0.99999990462029265,9.4999999999573745,8.662660408553852e-09,4.0376061877336821e-08,4.0386169854833359e-08,1.532505408566127e-14,2.6366139779449825e-11,3.907614004768575e-09,9.5402024875917827e-10,1.4690840719780961e-12,1.6242837228842256e-11,1.0490877619718312e-09
6.542850073936909e-13,0.4411234589460862,76.950000000000003,0.0,0.0,0.0,0.99999990163492269,9.499999999954726,8.9338976134144835e-09,4.1639430132215343e-08,4.1650240457068881e-08,1.5891011607801481e-14,2.8041574149266811e-11,3.9814986817926227e-09,1.0064703275373075e-09,1.502877862977515e-12,1.7215358284129938e-11,1.106764458079632e-09
6.741494043587992e-13,0.4411234589460724,76.950000000000003,0.0,0.0,0.0,0.99999989864959904,9.4999999999520011,9.2051348132934727e-09,4.2902746868822223e-08,4.2914286439296143e-08,1.6341978239436479e-14,2.9768519237542538e-11,4.0533044026523515e-09,1.05988890257498e-09,1.5360721724330057e-12,1.8212606785395768e-11,1.1655061605093692e-09
6.940138013239076e-13,0.44112345894605826,76.950000000000003,0.0,0.0,0.0,0.99999989566432002,9.499999999949198,9.4763720081908312e-09,4.4166012095535606e-08,4.4178308034562298e-08,1.6720202064320927e-14,3.1546966666219683e-11,4.1230896339038904e-09,1.1142487368104198e-09,1.5686776326374331e-12,1.9234307437479178e-11,1.2252829180440418e-09
7.138781982890159e-13,0.4411234589460438,76.950000000000003,0.0,0.0,0.0,0.9999998926790844,9.499999999946322,9.7476091981065639e-09,4.5429225820732328e-08,4.544230523406461e-08,1.7306721391298092e-14,3.3376908058590098e-11,4.1909112029697504e-09,1.1695233567839247e-09,1.600704687755854e-12,2.028018800494924e-11,1.2860656191611644e-09
7.337425952541243e-13,0.44112345894602883,76.950000000000003,0.0,0.0,0.0,0.99999988969389153,9.4999999999433715,1.0018846383040689e-08,4.6692388052787924e-08,4.670627860758481e-08,1.7800995888094389e-14,3.525833503925103e-11,4.2568243909163028e-09,1.2256870094168187e-09,1.6321636002537745e-12,2.1349979246487822e-11,1.3478259445047739e-09
7.536069922192326e-13,0.4411234589460136,76.950000000000003,0.0,0.0,0.0,0.99999988670873952,9.4999999999403428,1.0290083562993217e-08,4.7955498800076513e-08,4.7970228491745631e-08,1.8132651543524299e-14,3.7191239234157319e-11,4.3208829315619756e-09,1.2827146624269066e-09,1.6630644510668515e-12,2.2443414913508143e-11,1.41053636734228e-09
7.73471389184341e-13,0.441123458945998,76.950000000000003,0.0,0.0,0.0,0.99999988372362736,9.4999999999372431,1.0561320737964158e-08,4.9218558070970836e-08,4.9234154754271092e-08,1.8697220844166738e-14,3.9175612270671805e-11,4.3831390074123067e-09,1.3405820062221553e-09,1.6934171396294802e-12,2.3560231749602853e-11,1.4741701556468522e-09
7.933357861494494e-13,0.44112345894598204,76.950000000000003,0.0,0.0,0.0,0.99999988073855428,9.4999999999340687,1.0832557907953525e-08,5.04815658738423e-08,5.0498057913019462e-08,1.923716272296692e-14,4.1211445777528249e-11,4.4436433204837039e-09,1.3992654209069431e-09,1.72323138894489e-12,2.470016943764825e-11,1.5387013358158639e-09
