Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150)
3.1560159637124334e-14,0.2567461683410371,76.950000000000003,0.0,0.0,0.0,0.99999999708967224,9.4999999999998774,1.8366419835948351e-10,1.3379814626112329e-09,1.337962851588093e-09,7.1480639017219616e-14,1.1371623148263763e-15,4.9610698035013928e-11,5.0067975946972481e-13,5.1732455512869686e-14,1.9482807624771941e-21,1.6673844437793627e-24,6.4241074102029106e-25,4.838551061460688e-13
3.820440436413956e-14,0.256746168341037,76.950000000000003,0.0,0.0,0.0,0.99999999647697735,9.4999999999998206,2.2233034838506492e-10,1.6196486842800709e-09,1.6196210571141372e-09,1.0473761991792662e-13,1.3784867790342686e-15,5.9802354819191823e-11,7.3161821147556038e-13,7.5731970070789747e-14,2.8615400281862675e-21,2.9419090085503904e-24,1.133685716520156e-24,7.0703318974421268e-13
5.149289381817003e-14,0.25674616834103653,76.950000000000003,0.0,0.0,0.0,0.99999999525159355,9.4999999999996732,2.9966264796893146e-10,2.1829695474388348e-09,2.1829184661489632e-09,1.9025256291301603e-13,1.8611295959632359e-15,7.9927705944456304e-11,1.321640657214305e-12,1.3731014866812505e-13,5.2130921701253961e-21,7.1770567206419768e-24,2.7663392136707161e-24,1.2772287443680833e-12
6.47813832722005e-14,0.256746168341036,76.950000000000003,0.0,0.0,0.0,0.99999999402621786,9.4999999999994831,3.7699494692973602e-10,2.7462723902246965e-09,2.7461905410705718e-09,3.0110023770694998e-13,2.3437559962826326e-15,9.971397246323831e-11,2.0801069276387433e-12,2.1690733586803857e-13,8.2646364999662858e-21,1.4279768695674088e-23,5.5047009881504883e-24,2.0102078011404936e-12
7.806987272623097e-14,0.2567461683410353,76.950000000000003,0.0,0.0,0.0,0.99999999280084984,9.4999999999992504,4.5432724526747935e-10,3.309557315361961e-09,3.3094372841946329e-09,4.3727832863731184e-13,2.8263669746929761e-15,1.1916686836712141e-10,3.0041785374399634e-12,3.1442080638117426e-13,1.2016109013993234e-20,2.4989602150941678e-23,9.6340491582289753e-24,2.903227258157393e-12
9.135836218026144e-14,0.2567461683410345,76.950000000000003,0.0,0.0,0.0,0.99999999157548924,9.4999999999989715,5.3165954298216211e-10,3.8728244248972228e-09,3.8726586978329892e-09,5.9878452386882949e-13,3.3089627220586654e-15,1.3829200424306494e-10,4.0910683686417746e-12,4.2974851342921984e-13,1.6467445830049173e-20,4.0045954780610136e-23,1.5439649602807725e-23,3.9535936547187075e-12
1.0464685163429191e-13,0.2567461683410336,76.950000000000003,0.0,0.0,0.0,0.9999999903501362,9.4999999999986517,6.0899184007378483e-10,4.4360738203574239e-09,4.4358547842969265e-09,7.856165121242474e-13,3.7915432885499982e-15,1.5709489834759581e-10,5.3380351693796448e-12,5.6278893002995177e-13,2.1618583083704657e-20,6.0189131585246617e-23,2.3207167156144219e-23,5.1586578549682614e-12
1.3122383054235285e-13,0.2567461683410313,76.950000000000003,0.0,0.0,0.0,0.99999998789945199,9.4999999999978808,7.6365643238785324e-10,5.5625198726182768e-09,5.5621709849484995e-09,1.2352486207831696e-12,4.7566592317206843e-15,1.9375560684952839e-10,8.3014469968804416e-12,8.8160432593895932e-13,3.4020003393365966e-20,1.1870041660049098e-22,4.5772092998663119e-23,8.0224883130962227e-12
1.578008094504138e-13,0.2567461683410285,76.950000000000003,0.0,0.0,0.0,0.99999998544879609,9.4999999999969411,9.1832102220968871e-10,6.6888962734648802e-09,6.6883859046406402e-09,1.7861561633826257e-12,5.721715485863556e-15,2.2919133581845147e-10,1.1873380213961747e-11,1.2700656731303466e-12,4.9219858994694453e-20,2.06458151027921e-22,7.9619845830211788e-23,1.1474391638755671e-11
1.8437778835847474e-13,0.2567461683410253,76.950000000000003,0.0,0.0,0.0,0.99999998299816784,9.4999999999958327,1.0729856095392955e-09,7.8152038151301604e-09,7.8144995618634104e-09,2.4383206499197453e-12,6.6867127402969237e-15,2.6344300589964212e-10,1.6033507060466473e-11,1.7273807380512271e-12,6.7217638973151781e-20,3.2940347202395176e-22,1.2704471672332294e-22,1.5494723158283213e-11
2.1095476726653568e-13,0.2567461683410215,76.950000000000003,0.0,0.0,0.0,0.99999998054756589,9.4999999999945519,1.2276501943766778e-09,8.9414432808043734e-09,8.9405119751039749e-09,3.1917235932857387e-12,7.6516516622051046e-15,2.9655017312023012e-10,2.076217766462917e-11,2.25276632984469e-12,8.8012832494373267e-20,4.9348272158661621e-22,1.9034378918100793e-22,2.0064493306897616e-11
2.3753174617459663e-13,0.25674616834101727,76.950000000000003,0.0,0.0,0.0,0.99999997809698982,9.499999999993106,1.3823147767218398e-09,1.0067615444768725e-08,1.00664231628458e-08,4.0463465100679788e-12,8.6165329149464086e-15,3.2855107785640939e-10,2.6040395718099326e-11,2.8454481667012741e-12,1.1160492882607019e-19,7.0464759480462345e-22,2.7181700172254931e-22,2.5165344121130667e-11
2.6410872508265757e-13,0.2567461683410125,76.950000000000003,0.0,0.0,0.0,0.99999997564643839,9.4999999999914895,1.5369793565747853e-09,1.1193721072516194e-08,1.1192233143568682e-08,5.0021709205163677e-12,9.5813571546983708e-15,3.5948268610220586e-10,3.1849797975247879e-11,3.5046607550372659e-12,1.3799341733715316e-19,9.6885553275662496e-22,3.7376730781439016e-22,3.0779529427031237e-11
3.172626828987794e-13,0.2567461683410016,76.950000000000003,0.0,0.0,0.0,0.9999999707454067,9.4999999999877591,1.8463085088040426e-09,1.344573573788877e-08,1.3443549557860068e-08,7.2173503201718388e-12,1.1510837181602366e-14,4.1827973367760816e-10,4.4991753927016196e-11,5.019659655511888e-12,1.9915752883626226e-19,1.6802591003075268e-21,6.4832612946998986e-22,4.3479868075129574e-11
3.704166407149013e-13,0.2567461683409887,76.950000000000003,0.0,0.0,0.0,0.99999996584446471,9.4999999999833644,2.1556376510644783e-09,1.5697493228654986e-08,1.5694461365748889e-08,9.8371140218656856e-12,1.3440096842571402e-14,4.7321306970210071e-10,6.0053048939057608e-11,6.7918112937168252e-12,2.7150108381132664e-19,2.6754696900525951e-21,1.0325051324608133e-21,5.80350490452231e-11
4.235705985310232e-13,0.2567461683409738,76.950000000000003,0.0,0.0,0.0,0.99999996094360621,9.4999999999783107,2.4649667833561196e-09,1.7948999361905058e-08,1.7944968714952909e-08,1.2861314308188102e-11,1.5369141122262433e-14,5.2453658922110496e-10,7.6907557981978573e-11,8.8152985748529293e-12,3.5502000054581452e-19,4.0023556066996592e-21,1.5448378621129321e-21,7.4323185566507831e-11
4.767245563471451e-13,0.25674616834095704,76.950000000000003,0.0,0.0,0.0,0.9999999560428261,9.4999999999726121,2.7742959056789917e-09,2.0200259823075536e-08,2.0195071753136165e-08,1.6289803515407883e-11,1.729797489234137e-14,5.724875057255408e-10,9.5437442763719476e-11,1.1084436057876376e-11,4.4971019880643986e-19,5.708875913539408e-21,2.2039062011775903e-21,9.2230399141073836e-11
5.29878514163267e-13,0.25674616834093844,76.950000000000003,0.0,0.0,0.0,0.9999999511421187,9.499999999966267,3.0836250180331181e-09,2.2451280168974917e-08,2.2444770627908359e-08,2.0122434034131673e-11,1.9226602914265985e-14,6.1728744562427666e-10,1.1553260803887486e-10,1.3593666929860001e-11,5.5556759986137576e-19,7.8430807027305165e-21,3.0283406419456994e-21,1.1165029412320473e-10
5.830324719793888e-13,0.25674616834091796,76.950000000000003,0.0,0.0,0.0,0.99999994624147992,9.4999999999592859,3.3929541204185208e-09,2.4702065830737839e-08,2.469406548682496e-08,2.4359058309153445e-11,2.1155029841830479e-14,6.5914346930515889e-10,1.3709019438590693e-10,1.6337560051862469e-11,6.7258812647609531e-19,1.0453111771978e-20,4.0368207162901827e-21,1.3248346754111688e-10
6.361864297955107e-13,0.25674616834089564,76.950000000000003,0.0,0.0,0.0,0.99999994134090486,9.4999999999516689,3.7022832128352213e-09,2.6952622116661386e-08,2.6942956477387661e-08,2.8999528839033774e-11,2.3083260223566769e-14,6.9824902832099372e-10,1.6001410271495981e-10,1.9310807122539259e-11,8.0076770290174649e-19,1.358720267375818e-20,5.2480751768485522e-21,1.546370495830367e-10
6.893403876116326e-13,0.2567461683408714,76.950000000000003,0.0,0.0,0.0,0.99999993644038954,9.4999999999434284,4.0116122952832386e-09,2.9202954214958577e-08,2.9191443747044485e-08,3.4043698175982748e-11,2.5011298505110991e-14,7.3478486177925739e-10,1.8421454897685994e-10,2.2508219924715199e-11,9.4010225487191652e-19,1.7293678300604117e-20,6.6808819907191465e-21,1.7802427326959396e-10
7.424943454277545e-13,0.25674616834084535,76.950000000000003,0.0,0.0,0.0,0.99999993153992972,9.4999999999345608,4.3209413677625892e-09,3.1453067196467574e-08,3.1439527443189641e-08,3.9491418926006002e-11,2.6939149031524221e-14,7.6891983286329028e-10,2.0960764861243095e-10,2.5924727616162022e-11,1.0905877096066674e-18,2.1620954597112016e-20,8.3540683770356771e-21,2.0256407286714739e-10
7.956483032438764e-13,0.2567461683408176,76.950000000000003,0.0,0.0,0.0,0.99999992663952186,9.4999999999250768,4.6302704302732943e-09,3.3702966017316659e-08,3.3687207713163412e-08,4.534254374900649e-11,2.8866816049575648e-14,8.0081170875918257e-10,2.3611502911562424e-10,2.9555374064594991e-11,1.2522199958153473e-18,2.6617538562706847e-20,1.0286510954168757e-20,2.281807094701997e-10
8.488022610599983e-13,0.2567461683407879,76.950000000000003,0.0,0.0,0.0,0.99999992173916274,9.49999999991498,4.9395994828153654e-09,3.5952655521526931e-08,3.5934484704252221e-08,5.1596925358733992e-11,3.0794303709972961e-14,8.3060788907012502e-10,2.6366346818604317e-10,3.3395315244993099e-11,1.4249950436951968e-18,3.2332028315411456e-20,1.2497135907320005e-20,2.5480342131331008e-10
9.019562188761202e-13,0.2567461683407565,76.950000000000003,0.0,0.0,0.0,0.99999991683884903,9.4999999999042757,5.2489285253888191e-09,3.8202140443546604e-08,3.8181358563688764e-08,5.825441652269209e-11,3.2721616069533839e-14,8.5844608705161017e-10,2.9218455531820516e-10,3.7439816705308286e-11,1.6089087849287771e-18,3.88131130365103e-20,1.5004919105658349e-20,2.8236609673218429e-10
9.55110176692242e-13,0.2567461683407232,76.950000000000003,0.0,0.0,0.0,0.99999991193857773,9.4999999998929692,5.5582575579936694e-09,4.0451425410724988e-08,4.0427829438651932e-08,6.5314870062103427e-11,3.4648757093305893e-14,8.8445496648641923e-10,3.2161437542720445e-10,4.1684251092473064e-11,1.8039571526830102e-18,4.6109572835267166e-20,1.7828886183951773e-20,3.1080696842066398e-10
