Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82)
2.8355205170591624e-13,0.17203094247162273,76.950000000000003,0.0,0.0,0.0,0.99999926198386402,9.4999999995985132,2.1550615284824919e-08,3.1197402671050267e-07,3.1186429142246196e-07,2.5560984099780173e-10,1.7848753071112661e-13,8.3137866578628419e-08,9.0878514052885749e-09,1.4569606885444087e-10,3.4280348001708377e-18
3.0999303953797766e-13,0.1720309424714715,76.950000000000003,0.0,0.0,0.0,0.99999919320517205,9.4999999995216378,2.3560190477870298e-08,3.4105187181242647e-07,3.4091935630772962e-07,3.0543700132657706e-10,1.9512943961901285e-13,8.9994818567223707e-08,1.0790232319159156e-08,1.7272637128640825e-10,4.0963637315456095e-18
3.6287501520210054e-13,0.17203094247113093,76.950000000000003,0.0,0.0,0.0,0.99999905566671221,9.4999999993485194,2.7579340164808809e-08,3.9920144248329637e-07,3.9901621181045754e-07,4.1835357975324332e-10,2.284097547532293e-13,1.0329219678176805e-07,1.4592619981485575e-08,2.3289450277050663e-10,5.6109287361384861e-18
4.1575699086622343e-13,0.1720309424707403,76.950000000000003,0.0,0.0,0.0,0.99999891815263642,9.4999999991499333,3.1598488919627336e-08,4.5734319276364703e-07,4.570953874847834e-07,5.4893397560233918e-10,2.6168559367348085e-13,1.1605291731623109e-07,1.8907314312972992e-08,3.0086701850748744e-10,7.3624457986973596e-18
4.686389665303464e-13,0.1720309424703004,76.950000000000003,0.0,0.0,0.0,0.99999878066196202,9.4999999989262935,3.5617636742421974e-08,5.1547751167599204e-07,5.1515690633877328e-07,6.9715518359136452e-10,2.9495717904715318e-13,1.282986386057727e-07,2.3713639545169163e-08,3.7625489854416003e-10,9.3506063138454148e-18
5.215209421944692e-13,0.17203094246981188,76.950000000000003,0.0,0.0,0.0,0.99999864319374587,9.4999999986779908,3.963678363328497e-08,5.7360476885391058e-07,5.7320079135042577e-07,8.629942283923459e-10,3.2822472244385241e-13,1.4005014507386279e-07,2.8991754266452968e-08,4.5868851176025583e-10,1.1575102078032162e-17
5.74402917858592e-13,0.17203094246927564,76.950000000000003,0.0,0.0,0.0,0.99999850574708304,9.4999999984053929,4.3655929592304826e-08,6.3172531550513737e-07,6.3122706546771573e-07,1.04642816459428e-09,3.6148842488665541e-13,1.5132738229479047e-07,3.4722617854886425e-08,5.478166527835326e-10,1.4035625289029623e-17
6.272848935227149e-13,0.1720309424686923,76.950000000000003,0.0,0.0,0.0,0.99999836832110522,9.4999999981088639,4.7675074619566503e-08,6.8983948532915248e-07,6.8923575160863435e-07,1.247434076665293e-09,3.9474847737731813e-13,1.6214949081398245e-07,4.08879581923608e-08,6.4330562440189204e-10,1.6731868545424722e-17
6.801668691868377e-13,0.17203094246806255,76.950000000000003,0.0,0.0,0.0,0.99999823091497853,9.4999999977887413,5.1694218715151535e-08,7.4794759539141534e-07,7.4722687266123445e-07,1.4659890789134098e-09,4.2800506139666616e-13,1.7253483868426161e-07,4.7470240604543499e-08,7.4483836333475881e-10,1.9663524846093017e-17
7.330488448509606e-13,0.17203094246738707,76.950000000000003,0.0,0.0,0.0,0.99999809352790392,9.4999999974453502,5.5713361879138199e-08,8.0604994695370225e-07,8.0520045148367273e-07,1.7020703154469585e-09,4.6125834937986117e-13,1.8250105268273275e-07,5.4452638060336256e-08,8.5211360989846918e-10,2.2830287589667554e-17
7.859308205150834e-13,0.17203094246666636,76.950000000000003,0.0,0.0,0.0,0.99999795615911335,9.4999999970790014,5.9732504111601577e-08,8.6414682626165297e-07,8.6315651090425346e-07,1.9556549601355767e-09,4.9450850516717406e-13,1.9206504822240526e-07,6.1819002617375131e-08,9.6484512046285182e-10,2.6231850574015771e-17
